antalUndervisningsdage,beskrivelse,duration,endDate,forudsaetninger,holdTitle,id,institution,kontaktMail,kontaktPerson,kontaktPersonTlfNummer,lokationGade,lokationPostNr,lokationSted,startDate,tilmeldingsFrist,undervisningsform,undervisningstidspunkt,aabent,aflyst,aktiGuid,currentParticipantAmount,flereKurser,garantiKursus,hjemmeside,kviknummer,minimumParticipants,normpris,participantCapacity,tillaegspris,tillaegsprisAarsag,tillaegsprisBegrundelse,ledigePladser,link
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-08-11,,Sikkerhed v. asbestarbejde uden autorisationskrav,845103,AMU-Fyn,jap@amu-fyn.dk,Jasmina Petrovic,63135103,Petersmindevej 50,5000,Odense C,2026-08-10,2026-08-10,Dagundervisning,08:00 - 15:24,False,False,17D3C31A5F92489B94EC371BA5010697,5,False,False,https://www.amu-fyn.dk,461420b02290612604,10,436,20,,,,15,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=461420b02290612604
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-08-11,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889614,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Roedsvej 10,4300,Holbæk,2026-08-10,2026-08-09,Dagundervisning,08:00 - 15:24,False,False,06E749BD7B354E4185256251ABF150F2,0,False,True,https://www.amujuul.dk,26541423079,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423079
,"22906 - Sikkerhed v. asbestarbejde uden autorisationskrav
Målgruppe: 1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver
Beskrivelse: Deltageren kan arbejde sikkerheds- og sundhedsmæssigt fuldt forsvarligt med ethvert andet asbestarbejde end autorisationskrævende nedrivning af asbestholdigt materiale, som det er defineret og reguleret i bekendtgørelse om asbest i arbejdsmiljøet.
Deltageren har i den sammenhæng erhvervet sig",2,2026-08-14,,Sikkerhed v. asbestarbejde uden autorisationskrav,878368,AMU SYD,ckl@amusyd.dk,Carina Kjær Lillelund,76373744,C.F. Tietgens Vej 6,6000,Kolding,2026-08-13,2026-08-11,Dagundervisning,08:00-15:24,False,False,08441854E0E54E93B4A257B0098F8A06,4,False,False,www.amusyd.dk,6214072290626007,10,436,20,,,,16,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6214072290626007
,"1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøvetagning, herunder materialeprøver og geltapeprøver.
",2,2026-08-18,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889998,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Hovedakslen 10,4760,Vordingborg,2026-08-17,2026-08-16,Dagundervisning,08:00 - 15:24,False,False,E1A0AEFC98344DC0946BD79283BB8695,0,False,True,https://www.amujuul.dk,26541423089,1,436,6,,,,6,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423089
,"Fag kan være prøvebelagt. Underviser oplyser tidspunkt for afholdelse ved kursusstart. Prøven foregår som udgangspunkt på fagets sidste dag.
Har du læse-/skrive udfordringer? 
Er du ordblind og har brug for læse-/skrivestøtte, eller har du brug for at få vurderet dine basale færdigheder i læsning, skrivning, regning og matematik, så ring til kursussekretæren snarest muligt inden kursusstart.",2,2026-08-18,,Sikkerhed v. asbestarbejde uden autorisationskrav,857546,ZBC - Zealand Business College,jpe@zbc.dk,Julie Linea Petersen,31935663,Chr. Richardtsvej 43,4760,Vordingborg,2026-08-17,2026-08-09,Dagundervisning,08:00-15:24,False,False,122b543462e84e568c31dc0fbf5c041a,0,False,False,https://kurser.zbc.dk,2809418608am22906vo,8,436,30,,,,30,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2809418608am22906vo
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-08-18,Kurset er rettet mod ansatte i skorstensfejerfaget,Sikkerhed v. asbestarbejde uden autorisationskrav,885107,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Ledreborg Allé 50,4000,Roskilde,2026-08-17,2026-08-10,Dagundervisning,08:00-15:24,False,False,6B28A04D2E99447FAA2B8950821163B1,4,False,False,www.rts.dk,2654168241126yb34a,1,436,18,,,,14,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126yb34a
,"Deltageren kan arbejde med ethvert asbestarbejde, der ikke kræver autorisation for nedrivning af asbest. Deltageren kan dermed arbejde med fx reparation og vedligeholdelse af asbestholdigt materiale, rengøring for asbeststøv, fjernelse af asbestforurenet materiale, asbestoprydning efter brande mv. og desuden med kortvarigt nedrivningsarbejde af mindre karakter, der ikke kræver autorisation.
Deltageren kan arbejde med:
1. kortvarigt nedrivningsarbejde af mindre karakter som fx nedtagning af enkelte asbestholdige tagplader, enkelte fliser fastgjort med asbestholdig fliseklæb eller enkelte rørbøjninger med asbestholdig isolering 2. reparation, vedligeholdelse og indkapsling af forskelligt asbestholdigt materiale, fx i relation til bygninger og anlæg 3. rengøring for asbeststøv mv., bl.a. før afslutning af et asbestarbejde 4. fjernelse af asbestforurenet materiale, fx asbestforurenet isoleringsmateriale på loftrum 5. asbestoprydning efter brande, stormskader, sammenstyrtninger mv. 6. prøve",2,2026-08-18,Ingen forudsætninger,Sikkerhed v. asbestarbejde uden autorisationskrav,889453,JUUL Danmark A/S,info@amujuul.dk,Kursusadministration,39 39 11 11,Abildgårdsvej 14,4000,Roskilde,2026-08-17,2026-08-16,Dagundervisning,08:00 - 15:24,False,False,BD2FA26B3C35435B84A2D77672E1EF12,2,False,True,https://www.amujuul.dk,26541423066,1,436,6,,,,4,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=26541423066
,Sikkerhed v. asbestarbejde uden autorisationskrav,2,2026-08-20,Kurset er rettet mod ansatte i skorstensfejerfaget,Sikkerhed v. asbestarbejde uden autorisationskrav,885108,Roskilde Tekniske Skole,rts@rts.dk,Christina Jensen,46300400,Ledreborg Allé 50,4000,Roskilde,2026-08-19,2026-08-11,Dagundervisning,08:00-15:24,False,False,608AB29C942F48208A2D67C94CBB4FC3,13,False,False,www.rts.dk,2654168241126yb34b,1,436,18,,,,5,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=2654168241126yb34b
,,2,2026-08-21,,Sikkerhed v. asbestarbejde uden autorisationskrav,889712,Learnmark Horsens,gkb@learnmark.dk,Gitte K. Bekker,88163646,Blommevej 40,8930,Randers NØ,2026-08-20,2026-08-20,Dagundervisning,08:00 - 15:25,False,False,5ADF2FFC4BF2447D9221E12742D9F036,3,False,False,https://kursus.learnmark.dk,6154022290626023,10,1,16,,,,13,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=6154022290626023
,,2,2026-08-21,,Asbestarbejde u. autorisation – for rådgivere,884979,TECHCOLLEGE,gira@techcollege.dk,Gitte F. Rasmussen,72505271,Øster Uttrup Vej 1,9000,Aalborg,2026-08-20,2026-08-13,Dagundervisning,08:15 - 15:40,False,False,F61A2FF3F9FE45CC95D86DE0352730A6,4,False,False,https://techcollege.dk,851401abe200826,10,436,20,,,,16,https://voksenuddannelse.dk/soeg/uddannelser/amu/filtrering/kurs?subject_code=22906&level=-&type=amu&kviknummer=851401abe200826
